pc4_code,no2_020,no2_019,no2_018,no2_017,no2_016,no2_015,no2_014,no2_013,no2_012,no2_011,no2_010,no2_009
3273,,,,,,,,,,,,
3311,,,,,,,,,,,,
3319,,,,,,,,,,,,
3481,,,,,,,,,,,,
3571,47.96892,49.55846,50.26583,47.26767,43.09903,40.8502,39.77293,40.34695,42.94993,45.68606,48.30563,49.14515
3749,,,,,,,,,,,,
3763,,,,,,,,,,,,
3819,,,,,,,,,,,,
3844,,,,,,,,,,,,
4017,,,,,,,,,,,,
4106,,,,,,,,,,,,
4174,,,,,,,,,,,,
4181,,,,,,,,,,,,
4416,,,,,,,,,,,,
4423,,,,,,,,,,,,
4471,,,,,,,,,,,,
4491,,,,,,,,,,,,
4521,,,,,,,,,,,,
4693,,,,,,,,,,,,
4701,,,,,,,,,,,,
4766,,,,,,,,,,,,
4826,,,,,,,,,,,,
4836,,,,,,,,,,,,
5012,,,,,,,,,,,,
5172,,,,,,,,,,,,
5237,,,,,,,,,,,,
5249,,,,,,,,,,,,
5255,,,,,,,,,,,,
5268,,,,,,,,,,,,
5294,,,,,,,,,,,,
5315,,,,,,,,,,,,
5345,,,,,,,,,,,,
5361,,,,,,,,,,,,
5491,,,,,,,,,,,,
5628,,,,,,,,,,,,
5643,,,,,,,,,,,,
5735,,,,,,,,,,,,
5757,,,,,,,,,,,,
5763,,,,,,,,,,,,
5827,,,,,,,,,,,,
5871,,,,,,,,,,,,
5931,,,,,,,,,,,,
5993,,,,,,,,,,,,
6006,,,,,,,,,,,,
6012,,,,,,,,,,,,
6024,,,,,,,,,,,,
6044,,,,,,,,,,,,
6251,,,,,,,,,,,,
6311,,,,,,,,,,,,
6369,,,,,,,,,,,,
6411,,,,,,,,,,,,
6439,,,,,,,,,,,,
6444,,,,,,,,,,,,
6446,,,,,,,,,,,,
6574,,,,,,,,,,,,
7035,,,,,,,,,,,,
7076,,,,,,,,,,,,
7102,,,,,,,,,,,,
7157,,,,,,,,,,,,
7224,,,,,,,,,,,,
7314,,,,,,,,,,,,
7399,,,,,,,,,,,,
7413,,,,,,,,,,,,
7443,,,,,,,,,,,,
7543,,,,,,,,,,,,
7642,,,,,,,,,,,,
7766,,,,,,,,,,,,
7775,,,,,,,,,,,,
7814,,,,,,,,,,,,
7861,,,,,,,,,,,,
7914,,,,,,,,,,,,
7921,,,,,,,,,,,,
7928,,,,,,,,,,,,
